"mz","rt","t.score","p.value"
80.33775,676.14,-0.8441,0.4084
80.39233,652.2,-2.4101,0.0238
80.50192,701.16,-7.0631,0
80.50379,652.14,-2.6237,0.0152
80.6134,701.16,-5.5432,0
80.61626,675.96,-1.6905,0.1062
80.7277,676.08,-1.8196,0.0829
80.8051,613.92,0.4423,0.6631
80.94808,40.8,-0.993,0.3275
80.96304,216.66,-3.4449,0.0022
80.97382,450.06,1.2038,0.2412
81.06443,681.18,-3.2556,0.0034
81.06992,604.8,-1.229,0.2309
81.06995,490.98,-1.0329,0.3117
81.07002,211.14,4.6663,3e-04
81.07002,448.02,0.8631,0.4013
81.07004,207.72,2.6314,0.0182
81.07009,575.28,2.4499,0.0265
81.16972,658.74,-4.0395,3e-04
81.17595,680.94,-3.1829,0.0038
81.28121,658.68,-3.8973,4e-04
81.28843,713.88,-2.64,0.013
81.39262,658.68,-4.5897,0
81.3937,680.94,1.1861,0.2518
81.39992,713.94,-2.5602,0.0155
81.5052,680.94,1.1098,0.2821
81.51125,713.7,-2.1207,0.0418
81.61657,680.88,1.1961,0.248
81.61765,713.76,0.5519,0.5874
81.72914,713.76,0.587,0.564
81.7507,450.06,1.3704,0.1847
81.8039,595.8,0.8765,0.3897
81.80608,584.52,0.6076,0.5503
81.84045,713.88,0.4265,0.6744
81.8717,37.92,-1.9053,0.0663
81.93544,766.26,0.3725,0.7126
81.93547,758.82,2.5263,0.0192
82.01395,34.2,2.3255,0.0261
82.23859,490.74,0.4354,0.6659
82.30589,39.24,-2.3843,0.0207
82.50306,695.94,3.0752,0.0076
82.50708,706.26,-6.5677,0
82.53726,34.32,1.4452,0.1575
82.61858,706.26,-6.3724,0
82.72701,732.78,3.3527,0.0038
82.72701,673.02,-0.3039,0.7643
82.73106,714.24,-8.2126,0
82.73108,740.1,-1.0517,0.3036
82.79564,497.1,-6.1094,0
82.8385,673.02,-0.1202,0.9055
82.84256,714.24,-7.4397,0
82.94511,40.8,-1.0561,0.2981
82.95094,698.16,1.7435,0.0998
82.95501,750,0.1439,0.887
82.95839,766.02,-0.8392,0.4104
83.02174,216.72,-3.3737,0.0032
83.02178,42.54,4.3236,5e-04
83.04926,207.54,3.496,0.0031
83.08548,606.66,-0.7709,0.4483
83.08575,586.5,2.8571,0.0108
83.16851,694.26,-3.1159,0.0029
83.20503,36.84,1.7719,0.0934
83.39253,706.2,-6.602,0
83.42015,39.18,-0.5902,0.5595
83.50677,680.7,-3.2917,0.0021
83.61223,658.62,-4.2871,1e-04
83.61649,746.46,-6.6028,0
83.72797,746.52,-6.4399,0
83.79038,586.38,-0.0583,0.9541
83.83613,680.7,1.3707,0.1881
83.83641,654.66,-5.7112,0
83.87397,37.86,-0.9874,0.3337
83.93,764.94,2.1239,0.0401
84.04447,240.12,2.1979,0.0439
84.04453,76.8,0.2379,0.8141
84.04454,49.02,1.3425,0.1913
84.04456,781.44,0.2327,0.8177
84.04462,43.44,-2.4059,0.0275
84.06035,669.42,0.0953,0.925
84.06036,663.18,-0.8074,0.4292
84.08092,36.24,-0.164,0.8711
84.08092,662.64,1.2735,0.2142
84.08096,141.24,-1.5588,0.1291
84.17185,663.24,-0.9707,0.3436
84.17187,669.36,0.0398,0.9686
84.17903,719.64,-6.9042,0
84.28334,663.36,-0.4415,0.6636
84.28432,689.82,-0.7142,0.4833
84.29057,719.64,-7.2577,0
84.39578,689.82,-0.7272,0.4754
84.403,764.94,-3.9546,2e-04
84.50724,689.82,-0.6472,0.5246
84.50828,718.74,1.2188,0.2375
84.53465,39,-0.7959,0.4332
84.58413,617.16,-1.2506,0.2237
84.61868,689.88,-0.4066,0.6885
84.61976,718.8,1.2665,0.2205
84.70987,617.1,-2.4569,0.0182
84.73122,718.74,1.198,0.2454
84.77423,569.28,-4.4723,1e-04
84.83491,617.16,-1.1333,0.2702
84.89606,755.04,1.3107,0.2028
84.95982,34.2,0.101,0.9204
84.95982,680.82,2.5937,0.0171
84.95982,610.44,3.6917,5e-04
84.95982,592.5,1.8368,0.0765
84.95983,672.72,3.435,0.0019
84.95983,565.56,3.695,6e-04
84.95983,495.18,-1.3348,0.1921
84.95984,740.1,2.8868,0.0065
84.95985,697.26,2.4121,0.0249
84.95985,754.86,2.0049,0.0567
85.0284,319.44,-3.5606,7e-04
85.02845,170.52,3.5281,0.0029
85.02849,46.92,2.2028,0.042
85.02854,44.16,1.5362,0.1432
85.02854,62.64,4.2732,6e-04
85.06492,698.1,-0.7102,0.4807
85.06493,490.26,-1.7715,0.0825
85.10124,599.64,1.9687,0.0661
85.17377,699,-4.4434,1e-04
85.28526,699,-4.6516,1e-04
85.30547,490.92,1.7203,0.1018
85.30988,603.66,-0.824,0.4175
85.39369,668.1,-1.7378,0.0977
85.3937,724.74,1.707,0.105
85.39773,708,-8.7816,0
85.50391,668.28,-0.8696,0.3934
85.50522,724.86,1.8601,0.0789
85.5092,708,-8.6376,0
85.62074,708,-9.2996,0
85.6217,752.04,-5.6085,0
85.6217,726.84,-8.2975,0
85.64891,37.98,-1.0569,0.2987
85.76014,38.1,-3.8063,4e-04
85.81382,613.02,-1.1032,0.2767
85.84159,708.72,-0.9666,0.3442
85.8416,701.28,-5.2884,0
85.96314,708.96,4.5841,0
86.02576,34.2,-0.3149,0.755
86.09655,98.94,-0.0972,0.9235
86.09656,106.5,0.0795,0.9373
86.09656,89.7,-0.7726,0.4484
86.09658,47.28,0.378,0.7091
86.0967,40.8,-1.9614,0.0594
86.2831,736.44,-2.3106,0.0242
86.287,652.5,-0.1233,0.9028
86.34292,652.02,1.2598,0.2207
86.3925,690.54,-0.4704,0.6425
86.40929,435.24,-11.72,0
86.44826,690.6,-1.4851,0.1505
86.50283,662.64,-1.7754,0.0883
86.50285,669.3,2.4141,0.0253
86.50297,649.26,-2.7046,0.0103
86.50398,690.48,-0.1801,0.8589
86.61648,718.68,2.4188,0.0259
86.67219,718.56,2.2919,0.0336
86.72675,690.78,-0.5625,0.5793
86.72704,664.98,1.0434,0.3111
86.72707,658.62,-1.4307,0.1696
86.72707,652.86,-4.3766,1e-04
86.72794,718.62,2.7413,0.0129
86.951,670.14,-6.4559,0
86.95101,684.24,-2.5024,0.0211
86.95288,765.3,2.4812,0.0167
86.95288,592.44,0.6574,0.5175
86.95289,610.62,0.6947,0.4942
86.9529,565.5,0.5027,0.6203
86.95293,763.62,2.0275,0.0494
86.99284,34.2,2.48,0.0182
87.0442,90.66,1.1986,0.2475
87.0806,765.3,-0.5325,0.5971
87.08061,768.54,-0.8206,0.4153
87.10316,768.36,-1.5306,0.1308
87.17393,684.24,-2.9216,0.0079
87.17496,700.38,-2.8665,0.0077
87.17496,694.98,-1.4176,0.1697
87.26749,616.92,-1.2922,0.2054
87.28642,700.38,-2.7812,0.0097
87.28644,694.92,-1.4016,0.1746
87.29362,576,0.5918,0.5603
87.29362,565.26,0.8522,0.4026
87.29363,769.14,-3.1607,0.0024
87.3979,700.38,-2.7361,0.0108
87.39791,694.92,-1.5578,0.1329
87.39893,730.56,-3.7413,9e-04
87.40512,557.1,0.8721,0.3932
87.42382,38.4,0.2014,0.8411
87.50378,718.92,1.5745,0.1326
87.51038,730.56,-3.9139,5e-04
87.51757,644.82,0.3301,0.7434
87.62183,730.56,-3.7217,9e-04
87.62285,574.44,0.8379,0.4085
87.62285,564.9,0.7132,0.4813
87.62286,576.48,0.2684,0.7901
87.62286,555.96,0.5103,0.6139
87.62294,769.32,-0.3344,0.7407
87.62907,644.7,0.1709,0.8653
87.73331,730.62,-3.2544,0.0034
87.73437,576.3,0.1498,0.8818
87.7344,769.32,-0.5892,0.5596
87.84014,708.12,-7.5074,0
88.02325,33.9,-0.0786,0.9379
88.04757,208.62,-2.2367,0.0327
88.07578,42.18,-1.0521,0.3036
88.08392,697.38,-1.4499,0.1527
88.10327,105.66,-2.6312,0.014
88.11222,708.72,1.1973,0.2426
88.11223,680.94,1.4905,0.1493
88.22958,369.36,0.8482,0.4062
88.28836,711.96,-4.9094,0
88.28838,743.46,-2.26,0.0315
88.39986,711.96,-5.1035,0
88.50827,702.54,-3.5152,0.0015
88.51131,712.02,-5.2702,0
88.51231,755.58,-4.1927,1e-04
88.6237,755.82,-4.7081,0
88.77406,559.92,-5.6875,0
88.81969,574.86,2.3892,0.0302
88.8509,616.92,-0.194,0.847
88.95268,565.68,3.1692,0.003
88.96852,766.14,2.5087,0.0154
88.96854,697.26,0.7121,0.4831
88.96857,763.98,2.3543,0.0219
88.99038,34.08,2.6026,0.0141
89.03864,199.74,-4.5391,1e-04
89.05981,489.06,1.074,0.295
89.05986,683.94,-2.8317,0.0091
89.11536,204.54,-1.2566,0.2223
89.11539,97.68,-3.5519,0.0013
89.11539,105.06,-4.4644,1e-04
89.28307,699.42,-1.6159,0.1193
89.31075,647.46,-3.0006,0.0048
