"mz","rt","t.score","p.value"
114.9876,450,-1.5982,0.1204
219.98545,450,-1.918,0.063
151.03505,450,-2.2461,0.0374
215.0671,444.6,-1.2963,0.2138
82.53695,450,-1.0778,0.289
73.5333,449.7,-1.3589,0.1824
78.03765,450,-0.2526,0.8033
232.9229,425.1,0.4462,0.6582
110.02355,450,-0.369,0.7145
225.986,451.8,-0.3238,0.7486
273.09195,450.6,-1.4185,0.1764
222.98085,450,1.2561,0.2142
109.99745,446.4,-1.6273,0.1133
234.00065,450,-0.3809,0.7065
128.0041,453.3,-2.0827,0.0428
243.0024,447.9,-0.7449,0.4617
107.00885,451.5,-1.2408,0.2293
110.01635,453.6,-2.2225,0.0357
86.982,449.4,-1.6843,0.1067
111.997,450,-0.3851,0.7031
128.0116,461.4,-2.383,0.0233
128.02645,453.3,-0.8346,0.4116
110.00285,458.7,0.1327,0.8955
317.90045,450,-1.7284,0.1012
198.9427,450,0.0654,0.9484
179.0208,450,-0.5333,0.5988
125.0098,448.5,-1.5221,0.1428
234.9599,449.4,0.2357,0.8154
91.54095,450,-0.2322,0.8188
286.95625,459.9,-1.7587,0.0954
127.02465,449.7,-2.1663,0.0444
222.93105,450.6,-3.843,3e-04
227.9447,449.4,-0.1289,0.8988
287.95805,450.9,-2.6811,0.0167
143.0394,450,-0.0556,0.9561
232.99875,450,-0.6609,0.5142
119.05705,450,-0.0543,0.9571
177.0254,450,-2.5044,0.015
184.04765,432.6,-1.6309,0.1227
291.15425,454.5,-1.0982,0.2862
130.127,450,0.5563,0.5829
97.5282,450,-0.8228,0.4202
309.1657,462.6,-1.6451,0.1185
148.11655,450,-2.3867,0.0231
115.08755,450,0.4139,0.6842
296.15515,391.5,0.0914,0.928
147.11525,450,-0.0809,0.9365
133.09835,450,-0.4208,0.6796
295.1499,449.7,-0.9274,0.3648
80.03575,450,-1.3592,0.1914
129.10475,450,0.0299,0.9765
271.9089,450,-0.1647,0.8709
130.07945,449.7,-0.4796,0.6354
229.94365,450,-0.237,0.8151
275.8883,450,0.8215,0.4213
83.0125,450,-3.6092,0.002
404.92345,450,-0.7728,0.4488
215.0878,450.6,1.84,0.0809
147.16155,366,0.182,0.8571
144.0351,450,-1.5855,0.1226
237.06955,451.8,-0.2631,0.7948
268.95855,450,-2.6124,0.0182
71.0295,449.4,-2.7692,0.0121
225.9131,450,2.6384,0.0147
134.09845,450,-2.256,0.0374
318.9363,450.9,-1.3643,0.1875
223.05405,450.6,1.8604,0.0744
269.9595,450,-1.3543,0.1876
386.92225,439.8,-4.0703,5e-04
305.05575,450,0.8175,0.4229
373.0472,447.3,-3.6842,0.0011
253.9078,442.2,0.5046,0.6181
291.0414,450,1.0979,0.2849
129.1389,449.7,-0.9925,0.3342
577.0101,466.8,-1.0035,0.3282
427.01345,437.7,1.5173,0.142
495.00515,414.6,-0.8936,0.3836
644.9928,450.9,2.2524,0.0312
256.97075,450.9,-0.5441,0.5925
361.8876,454.8,0.8172,0.4209
454.9126,441.9,-3.4784,0.0023
204.95695,450,-2.953,0.0089
726.8648,453.9,-3.3666,0.0032
206.957,450,0.2071,0.8381
509.0176,445.8,-1.5028,0.1439
154.97955,450,-0.5543,0.5821
334.9131,450,0.2133,0.8328
205.959,450,-3.9142,9e-04
220.9368,451.2,-0.4293,0.6717
281.90495,450,0.3807,0.7069
272.94405,452.7,-3.8016,0.0012
273.9439,450,-3.2532,0.0044
274.9413,452.1,-2.1762,0.0397
441.03245,434.1,-2.5583,0.0215
408.9178,450.9,-3.631,0.0019
288.9199,450,-0.3474,0.7316
596.9059,462.3,-1.5781,0.1261
409.92085,448.8,-3.7756,0.0014
340.9318,449.4,-3.4535,0.0028
341.93135,450,-3.4627,0.0027
410.9166,452.7,-3.9026,0.001
342.9309,451.2,-4.2956,4e-04
794.8479,461.7,-1.6782,0.1106
476.9081,449.1,-3.2992,0.004
477.90945,439.8,-3.6856,0.0017
214.0637,448.8,-2.4485,0.0266
544.89545,442.8,-3.0005,0.0076
862.8358,453.6,-1.4594,0.1618
317.13155,437.4,-0.2528,0.8031
478.905,451.5,-3.0826,0.0064
546.89165,460.2,-2.2306,0.0402
304.8941,450,0.4594,0.6496
681.8688,431.4,-1.5564,0.1393
545.8999,454.2,-2.7651,0.0125
817.84535,448.8,-1.8489,0.0799
612.88135,446.7,-2.3827,0.0296
749.8565,454.5,-2.0598,0.0506
613.8795,452.4,-1.2281,0.2345
356.9094,450,-0.3917,0.699
614.87805,462,0.3002,0.7669
270.9777,450,0.6598,0.5143
424.89655,455.4,-0.4331,0.6692
682.8671,442.8,-1.6266,0.1201
680.867,447.9,-2.4929,0.0222
748.85835,440.4,-2.0913,0.0499
750.8527,450.3,-1.4315,0.167
885.8326,453.9,-0.6106,0.5474
440.8712,459.6,0.4746,0.6386
884.83085,446.7,-1.4603,0.1603
816.84495,450,-2.1642,0.0425
492.8821,449.4,-0.5167,0.6107
406.9543,452.1,3.3403,0.0021
474.94085,459.9,0.8389,0.4096
952.81765,438.9,-0.9276,0.3636
818.84415,450.6,-1.7906,0.0887
793.84695,451.8,-1.1075,0.2808
306.0584,450,0.4815,0.6342
359.0321,447,0.4282,0.6738
696.84315,441.3,-0.5985,0.5559
1020.80085,462,-0.5787,0.5691
827.84545,450.3,-1.2525,0.227
725.8558,457.5,-0.4516,0.6563
759.85155,458.1,-1.22,0.2372
895.82605,454.2,0.0944,0.9257
252.87305,450,0.144,0.8867
560.87175,456.6,-0.5165,0.6109
861.8358,459.6,-0.5253,0.6046
628.8547,453,-0.8842,0.3877
691.86375,449.1,-1.3273,0.1991
515.044,453.3,1.7518,0.0924
657.86935,450.6,-0.9369,0.3616
764.83375,422.1,-0.6645,0.5134
929.82485,452.7,0.1134,0.9106
421.1173,467.1,-1.7121,0.1041
475.08855,429.6,-0.0627,0.9507
130.0854,450,1.9339,0.066
331.14645,447.9,-0.0044,0.9965
216.95085,448.8,0.1496,0.8822
246.05265,447.3,-10,0
832.8196,456.9,-0.6973,0.4933
146.1658,447,-0.7839,0.4421
337.0214,430.5,1.0735,0.2956
450.017,460.2,-0.49,0.6302
820.9032,460.2,1.8543,0.0738
600.00525,458.7,2.6321,0.0129
265.0068,465.3,5.8104,0
888.88995,436.8,2.9359,0.0051
854.8936,465.6,1.5904,0.1203
489.10405,462.9,-1.4797,0.1535
856.9377,452.4,-0.1016,0.9202
720.96035,444.6,0.0323,0.9746
532.01955,445.2,0.5541,0.5852
471.99115,465.6,0.9164,0.3687
745.90785,438,0.4267,0.6739
539.97855,421.2,1.4485,0.1625
619.90655,463.5,1.8791,0.0722
864.8447,457.5,1.7457,0.0922
607.96645,447,1.8996,0.0703
898.84485,451.5,2.4236,0.0216
870.95585,455.7,1.7871,0.0853
396.04415,450,0.7607,0.4539
788.9467,461.1,0.5943,0.56
734.98065,455.1,1.3478,0.1891
684.9251,404.7,1.297,0.2065
890.8523,448.2,1.3463,0.1897
786.90705,458.1,2.4421,0.0203
404.00535,433.5,1.2307,0.2307
796.8563,448.2,1.2961,0.206
718.92015,438.3,2.7821,0.0092
532.8607,450,0.8495,0.4039
711.91145,429.9,-0.256,0.8008
158.9454,450,0.1164,0.9082
584.9863,423.9,-0.3732,0.7136
802.96175,435,0.6287,0.5351
694.87565,448.8,1.8344,0.0778
652.97635,462.9,0.0599,0.9529
752.9121,447.9,1.2506,0.2216
314.0412,450,0.4526,0.6552
687.89535,461.7,1.7148,0.0991
958.8388,429.6,2.0909,0.0474
932.83365,416.1,2.417,0.0216
216.96915,450,2.4765,0.017
830.85245,458.1,1.1524,0.2597
516.99905,446.4,-0.0019,0.9985
666.99115,450,0.7357,0.4692
483.92905,457.2,1.1947,0.2456
822.8647,450.3,1.1146,0.2754
728.8662,446.1,1.4094,0.1706
907.3241,450.6,2.2434,0.0314
754.87615,442.2,0.6878,0.4978
873.835,443.1,2.1873,0.0352
599.00195,460.8,2.2365,0.0346
415.94505,466.8,0.7593,0.4553
660.8798,462.9,1.5938,0.125
975.31485,451.5,4.8695,0
313.03605,450,0.5465,0.5902
413.93965,444.9,1.1053,0.2804
245.0482,451.8,1.9236,0.0682
762.8639,460.2,1.2245,0.2317
686.88755,460.5,0.9397,0.3563
481.92815,444.6,0.5627,0.5793
227.0011,450.6,-0.8407,0.4093
805.8464,462.3,1.3061,0.2034
941.31925,447.6,0.8605,0.3967
395.0387,455.4,-0.0329,0.974
940.81835,447.9,1.7798,0.0841
805.34535,457.2,1.515,0.1414
839.33895,443.4,1.2712,0.2142
185.0786,450,0.9957,0.329
1008.80575,453.6,2.8176,0.0085
463.0247,435.9,0.449,0.6572
464.0284,459,0.9719,0.3393
873.3331,450.9,1.8033,0.0817
600.88155,453,1.3219,0.1966
635.3769,467.7,1.0863,0.2909
531.01705,444.9,0.6201,0.5406
328.0552,450,1.5235,0.1374
