id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	R449_LG_M	QC_1	QC_2	QC_3	QC_4	QC_5	R446_HG_M	R446_LG_M	R449_HG_M	R455_HG_M	R455_LG_M	R456_HG_M	R456_LG_M	R457_HG_M	R457_LG_M
F16894	215.9646	40.69	39.09	42.57	6660	68318553	1	1	1186	15	5647360	5077828	4689337	4962868	4413018	4614101	1963987	3874939	5407171	2597214	3551482	5766590	6016437	5335109	4415112
F16895	256.6013	544.1	540.89	547.31	7997	333786795	1	0.99	4853	15	25505587	19950086	21978960	22415704	22703293	22621743	22483304	22616915	21356846	22704107	22835687	19449533	24494720	22076515	20618795
F16896	256.7002	263.26	260.32	265.13	7998	2220204	1	0.93	196	2	0	0	0	0	0	0	0	0	0	0	0	1439236	775208	0	0
F16897	256.8208	40.43	39.36	42.57	7999	153139576	1	0.98	37353	13	2599715	8198061	8189482	8213422	8803764	8081107	31720078	18735058	13079640	20537650	17420225	3470436	4103938	0	0
F16900	116.069	46.31	44.17	47.65	3039	1221773	0.78	0.72	3	7	0	91262	452585	79541	0	187407	119595	49218	0	0	0	222144	0	0	0
F16916	116.069	331.19	331.99	332.52	3039	1672746	0.82	0.81	3	4	0	129060	0	0	0	25781	0	0	0	0	46649	0	81939	0	0
F16917	116.069	335.47	332.52	336.8	3039	4058337	0.82	0.8	3	14	335629	363759	125821	370165	772005	165611	391737	0	90757	367987	141036	111038	41957	66021	71258
F16921	116.069	351.51	349.91	352.31	3039	1501344	0.81	0.92	3	6	401000	492837	0	161688	0	0	347401	110897	0	0	0	49720	0	0	0
F16923	116.069	363.81	361.94	367.02	3039	4226317	0.83	0.72	4	13	1126270	1239242	0	338755	89355	37996	617741	165927	0	71242	57036	213711	108669	82149	183779
F16924	116.069	372.91	372.1	375.58	3039	2366704	0.81	0.78	3	13	735599	875997	0	48977	67836	40353	0	48558	101366	78601	94292	58245	111869	106298	63773
F16926	116.069	477.24	474.03	480.45	3039	2105718	0.78	0.72	4	10	0	785414	69376	0	0	248530	56936	70485	97043	161194	0	249253	271089	0	131174
F16927	116.069	510.93	509.86	512.27	3039	821738	0.74	0.9	5	6	0	88563	0	0	111474	255012	129783	0	0	0	0	70647	0	110233	0
F16930	116.069	520.56	518.15	521.1	3039	975982	0.79	0.97	7	8	390610	0	0	108769	65257	0	162838	50691	0	89415	0	64693	96874	0	0
F16931	116.069	522.97	521.1	525.38	3039	3011906	0.83	0.93	12	11	213719	245437	0	175376	189861	341292	589770	226772	0	173222	0	528014	150209	204388	0
F16932	116.069	564.15	561.75	566.29	3039	1207350	0.74	0.84	4	6	0	0	0	0	159125	283454	0	93255	0	357961	0	143616	242360	0	0
F16936	116.069	590.9	588.76	591.96	3039	1112988	0.73	0.82	5	5	0	0	0	0	0	56420	0	61524	0	66295	0	664354	0	287362	0
F16938	116.069	606.67	605.34	608.01	3039	694898	0.71	0.85	3	6	0	0	0	0	205866	93667	0	72870	0	0	0	141593	51552	167243	0
F16939	116.069	641.97	640.1	643.31	3039	1124582	0.75	0.97	5	8	0	0	115580	80487	0	194404	0	56433	0	0	0	148017	401903	57250	132337
F16940	116.069	647.59	645.18	649.19	3039	6762634	0.79	0.95	19	12	2051158	833958	0	372621	307040	283531	1531125	390785	227465	53705	0	399461	357976	309863	0
F16941	116.069	653.47	651.6	656.68	3039	4393898	0.82	0.94	12	12	1264343	675516	109440	247164	255768	93722	647378	316300	0	243987	0	329347	254296	0	128582
F16942	116.069	681.6	678.66	683.47	3039	1989049	0.82	0.76	4	7	0	0	0	0	596377	273434	0	0	104951	378073	0	227669	250419	158607	0
F16943	116.069	686.95	686.14	687.75	3039	1662137	0.82	0.93	5	7	0	61000	0	0	191987	0	0	191550	0	471199	0	317763	292965	97038	0
F16944	116.069	688.82	687.75	692.03	3039	5364511	0.82	0.8	7	11	0	162800	269772	149751	214580	219027	0	110593	0	1118000	72318	743538	549906	267801	0
F16946	116.069	709.17	706.23	712.38	3039	2602255	0.8	0.72	3	7	0	0	145906	0	426804	350162	0	311638	0	374931	0	403596	593734	0	0
F16947	116.069	724.14	723.34	725.21	3039	715818	0.75	0.92	4	5	0	0	0	0	131197	115854	0	0	0	179196	0	50647	268323	0	0
F16948	116.069	732.17	729.76	734.57	3039	2259696	0.82	0.79	5	7	0	0	0	0	0	114913	0	81868	0	418004	0	894766	277776	221893	142688
F16950	116.069	749.28	746.34	752.22	3039	3015574	0.83	0.78	7	8	0	0	129269	0	91536	0	0	192119	0	766645	0	936704	501764	378388	155671
F16952	116.069	758.91	756.77	761.05	3039	1690549	0.75	0.73	3	8	0	0	0	0	236295	154543	0	146544	0	85255	0	374572	470429	116960	130863
F16953	116.069	764.26	761.05	765.86	3039	2863959	0.83	0.86	7	6	0	0	0	0	214101	632260	0	0	0	668636	0	542360	578133	219883	0
F16954	116.069	767.2	765.86	769.07	3039	1360925	0.8	0.92	4	7	0	0	0	0	90010	122948	0	89575	0	386124	0	245609	152244	0	168965
F16955	116.069	770.14	769.34	772.01	3039	1105773	0.8	0.84	4	5	0	0	212554	0	333258	98798	0	0	164157	305950	0	0	0	0	0
F16960	116.069	798.22	795.81	800.36	3039	1067186	0.73	0.88	3	5	0	0	0	0	68436	0	0	0	0	410866	0	115374	229970	233380	0
F16964	116.069	863.85	861.17	864.92	3039	2511767	0.83	0.86	3	9	0	0	279974	0	186830	328090	0	298761	0	550166	0	303774	163379	132939	221270
F16965	116.069	867.86	864.92	869.46	3039	2712782	0.83	0.95	3	6	0	0	0	0	0	178138	0	118796	0	322785	0	1021551	326186	0	657866
F16973	116.069	929.65	928.04	930.98	3039	2664190	0.82	0.93	3	10	0	251389	0	83226	295939	0	104689	206638	0	406447	0	539534	326685	426065	126717
F16974	116.069	932.32	930.98	935.53	3039	3239600	0.82	0.71	3	11	0	0	109136	108802	250815	606570	0	373010	118683	279422	0	468574	327291	387720	94625
F16976	116.069	947.03	944.35	949.7	3039	3659665	0.82	0.85	3	12	431549	121283	88743	155184	323055	380282	0	155988	0	216721	0	769390	503679	411562	118315
F16984	256.8504	171.73	168.52	174.4	8001	99488102	0.75	0.77	19	15	7751324	7748582	6382188	6460577	7261572	6078226	2553705	6811449	6679369	10647657	9605616	4560535	8251983	4092162	4626157
F16985	256.8504	181.89	178.68	185.1	8001	258449879	1	0.93	54	15	23612945	19579822	18419953	18193035	17325878	15381269	10910062	17735835	15230072	10571260	20348813	20000115	23821538	13643375	12407851
F16986	256.8504	191.52	188.31	194.73	8001	314194725	1	0.9	53	15	30153486	21195516	18459711	20499361	20266612	22908371	10933531	18085405	24653180	17519475	24034548	23178356	23258513	18944908	18385901
F16987	116.0709	46.58	44.97	48.98	3040	728259222	1	0.98	4	15	222077338	125088642	126523046	124918296	126998951	125027067	62045182	67170231	249502968	71244692	85091497	141231102	114265909	126931666	121694613
F16988	256.8947	36.41	34.54	38.02	8002	16602082	1	0.96	2622	13	1593888	1253089	665311	1083058	877358	895700	812001	0	2378175	0	2095093	1979012	1200453	753836	1029108
F16991	156.0108	109.15	105.94	112.36	4583	7875459	0.76	0.92	365	5	0	0	0	1447490	0	0	0	0	1828197	0	1360405	0	0	1485212	1817444
F16992	256.9621	38.55	37.48	39.62	8004	6859834	1	0.91	921	14	339157	786482	595259	440413	0	347323	967520	694793	517588	700313	732627	166085	225139	184161	333643
