id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	R449_LG_M	QC_1	QC_2	QC_3	QC_4	QC_5	R446_HG_M	R446_LG_M	R449_HG_M	R455_HG_M	R455_LG_M	R456_HG_M	R456_LG_M	R457_HG_M	R457_LG_M
F1	70.0078	43.64	41.76	46.31	5	2594870	1	0.99	217	13	438904	0	60677	344205	236768	265386	0	30627	545613	186751	103502	94205	153170	77081	73655
F36	70.0353	263.8	262.19	265.67	15	11262579	1	0.98	1509	13	996137	800967	969040	804148	806972	777914	956985	806128	807742	0	712856	1052358	0	832710	952622
F37	70.0407	331.72	330.12	333.59	16	1932384	1	0.99	266	4	0	0	0	0	0	0	657959	0	468406	0	569220	0	0	0	381338
F38	70.0482	606.67	604	608.01	18	6399501	1	0.9	642	9	518590	329196	0	0	0	904338	249319	0	0	734929	772478	460013	0	627572	778639
F39	70.0482	608.81	608.01	609.88	18	1072945	1	0.96	209	9	88611	61146	0	0	0	105561	35988	0	0	190986	195120	149131	0	132695	88198
F41	70.0488	606.67	603.73	609.61	19	2814338	1	0.85	273	5	0	0	808998	590326	0	0	0	350148	436235	0	0	0	658480	0	0
F46	70.0488	987.14	985.27	988.48	19	1650311	0.79	0.78	4	6	0	0	228287	333406	0	0	0	144206	353475	0	0	220908	364580	0	0
F47	70.0492	606.67	603.46	609.88	20	76616196	1	0.99	6482	15	5359574	4942680	5210603	5359520	5361248	5052780	5142387	4429812	4503321	4504942	6657708	5294383	4229442	5669037	4923759
F50	70.065	52.99	51.12	55.67	23	31225498	1	0.97	939	15	1794534	2496538	2593295	1324435	2112266	2061298	1544413	2938675	2176796	1650476	2364022	2070192	2363528	2167044	1585986
F54	70.0976	327.71	326.11	329.58	27	1220196	1	1	165	2	0	0	0	0	0	0	829211	0	0	0	0	0	534563	0	0
F55	70.1178	359.8	358.46	361.67	30	1110001	1	1	155	2	0	553353	577487	0	0	0	0	0	0	0	0	0	0	0	0
F56	70.155	359.27	357.66	361.94	33	822406	1	0.96	107	1	0	0	0	0	0	0	851060	0	0	0	0	0	0	0	0
F57	70.1589	840.79	838.39	844	34	13432602	1	0.91	1291	14	953224	854388	1069992	933911	938151	921228	651669	1154412	0	2119572	1011078	526157	1180258	835540	305022
F58	70.1599	606.14	604	609.08	35	12646377	0.97	0.98	1288	15	109028	294362	1363940	1363344	246597	1339355	346760	101504	219414	1194616	1742213	1387080	193765	1375023	1389376
F59	70.1599	840.79	837.85	844	35	84388756	1	0.99	6724	15	6472698	5349670	5561154	5270549	5695693	4973386	3948382	6524556	3741514	11123475	6297409	3830850	7144702	4944357	3534361
F60	70.1607	606.67	604	609.88	36	9138065	1	0.99	794	7	1320241	1409024	0	0	1476376	0	1451937	1096271	1286962	0	0	0	1120264	0	0
F61	70.2704	841.6	838.65	843.47	38	1456487	1	0.94	127	4	0	0	0	0	268962	0	0	154536	0	905199	0	159977	0	0	0
F62	70.2714	841.06	838.12	844	39	23220143	1	0.98	1949	13	2016487	1578305	1511209	1556603	1652024	1526097	0	1996874	1189741	3381180	1988690	1052111	2173634	1620188	0
F63	70.3005	359.8	358.2	361.14	40	671308	1	0.93	105	3	206170	0	0	0	144262	0	340884	0	0	0	0	0	0	0	0
F64	70.3014	359.8	357.93	362.21	41	13739419	1	0.99	1701	15	928785	765734	902801	1000643	867401	818381	1187817	1100136	909915	778410	873613	960820	819156	888993	922408
F65	70.3385	359.8	357.93	361.67	43	11511347	1	0.98	1382	14	699290	750337	901104	840784	775106	897451	1071746	945942	870558	723355	0	843124	611410	807166	751132
F66	70.3491	867.32	865.18	870.26	44	1192382	1	0.92	103	4	206550	819426	0	0	95782	0	0	0	0	0	0	0	90633	0	0
F67	70.35	867.32	864.92	870.26	45	27413334	1	0.98	2645	15	1910006	4328925	2023306	1806940	3246159	1751267	1154195	1777807	1256540	1351619	1043414	1760193	1016627	1421750	1585586
F68	70.3829	784.85	782.17	787.25	46	1739794	0.79	0.78	23	10	177481	0	106629	185289	173826	230275	0	303887	198703	181694	0	0	43806	177615	0
F69	70.3829	841.06	839.19	843.2	46	1017140	0.8	0.99	149	8	65724	0	108466	0	90073	108178	0	157280	0	328530	0	0	65640	119795	0
F70	70.3839	782.17	778.96	785.38	47	17518487	0.91	0.87	48	10	1800000	0	1645025	1692394	1789517	1753529	0	1820899	1494687	1792980	0	0	1927081	1827375	0
F72	70.3839	795.01	791.8	796.61	47	9875089	0.89	0.78	32	10	1018486	0	1000437	766166	893664	1038234	0	1104855	1007724	960763	0	0	1090281	1013479	0
F73	70.3839	797.95	796.61	801.16	47	10051527	0.89	0.85	34	10	1079090	0	1040033	876956	1033462	1122460	0	1011615	921892	974478	0	0	1015513	994028	0
F74	70.4612	867.32	865.18	870.26	51	1978221	1	0.99	192	2	0	1214810	0	0	789265	0	0	0	0	0	0	0	0	0	0
F75	94.0668	949.7	947.29	952.11	1885	1580231	1	0.96	156	1	0	0	0	0	0	0	0	0	0	1599239	0	0	0	0	0
F82	70.5418	38.55	37.75	39.89	63	19089571	1	1	4564	15	646581	1307861	1273793	1226376	1158531	1318147	2753528	2199531	1138771	2471201	1789957	600080	767279	596594	478531
F91	94.0691	446.49	444.61	447.82	1886	1342366	0.85	0.82	3	11	145716	148674	0	172179	167351	45424	124667	0	71050	0	88844	128366	0	155253	106784
F101	94.0691	496.76	495.42	498.1	1886	1441126	0.91	0.98	3	12	157470	33319	226021	182697	129183	117918	76436	0	144200	0	124131	79531	0	88842	72021
F103	94.0691	504.78	502.38	506.66	1886	2318062	0.91	0.88	3	12	219073	233496	120433	283639	52499	145374	209832	0	232057	0	157972	186826	0	178011	276507
F107	94.0691	548.38	546.77	549.71	1886	1034938	0.81	0.93	3	10	86506	0	0	153013	108551	159076	169733	0	45077	0	112120	79846	0	40419	47476
F110	94.0691	560.41	558.8	563.08	1886	1602578	0.8	0.79	3	12	206561	119235	142910	96862	173216	155244	118202	0	151580	0	86665	144996	0	122061	110464
F111	94.0691	564.42	563.08	565.76	1886	1090625	0.81	0.94	3	11	76861	77442	0	129627	102675	145327	121488	0	44114	0	148041	102795	0	44610	84653
F112	94.0691	570.04	568.97	573.25	1886	1895720	0.86	0.82	3	12	111021	158639	80819	144202	199395	221125	118646	0	235726	0	157845	236225	0	47964	181404
F117	94.0691	587.42	586.08	588.49	1886	1018175	0.84	0.92	3	12	36997	81061	173636	90467	106446	50285	115627	0	40578	0	85069	41460	0	139643	79470
F118	94.0691	592.23	590.63	594.1	1886	1856096	0.9	0.93	4	12	177230	124953	91040	40802	211765	89790	130060	0	230610	0	231427	247987	0	162361	98392
F119	94.0691	595.44	594.1	597.58	1886	1722083	0.9	0.88	4	11	117978	76344	76752	148106	248776	178753	255616	0	0	0	110761	145717	0	226949	183740
F121	94.0691	603.2	601.06	606.14	1886	2337278	0.89	0.94	4	12	125813	210494	206905	260113	250122	308276	160879	0	128884	0	124359	146333	0	215623	207439
F122	94.0691	610.15	607.21	611.49	1886	1900100	0.86	0.8	3	12	178803	113546	248261	227306	101354	205550	96919	0	39075	0	284934	209026	0	157577	49262
F123	94.0691	613.36	611.49	615.23	1886	2186686	0.9	0.97	4	12	75844	213279	197036	202084	114306	286890	152526	0	222792	0	93161	282739	0	198223	159201
F125	94.0691	622.45	620.58	625.39	1886	2450070	0.88	0.82	4	12	143173	275761	152549	306618	277506	168532	355357	0	126600	0	64906	243747	0	198291	126771
F126	94.0691	627	625.39	628.6	1886	1618107	0.83	0.85	3	12	228974	164517	106990	180631	205944	103104	177196	0	153694	0	57603	94286	0	156541	40490
F127	94.0691	631.54	628.6	634.75	1886	3128466	0.9	0.79	4	12	414122	200580	242679	202604	284839	323065	231547	0	281124	0	289354	315805	0	298528	113561
F128	94.0691	636.89	635.02	639.03	1886	2099876	0.91	0.85	4	12	189613	304034	230336	107204	169704	75114	155464	0	73387	0	142196	182447	0	297095	187041
F130	94.0691	658.82	655.88	660.16	1886	1603074	0.9	0.93	4	12	139373	136427	124104	115592	68943	149159	158989	0	62701	0	75260	154366	0	222545	144532
F131	94.0691	661.79	660.16	664.73	1886	2211237	0.84	0.82	3	12	259220	105948	180368	285552	234189	169987	113616	0	106574	0	226555	251963	0	167538	194108
F132	94.0691	666.07	664.73	667.14	1886	1096985	0.82	0.89	3	11	165820	90685	82557	0	157712	131126	176717	0	42520	0	38062	117089	0	53138	81992
F133	94.0691	671.44	670.35	673.58	1886	1707552	0.84	0.8	3	12	100945	103333	126463	84390	142501	212581	242745	0	125670	0	153161	216987	0	71253	102138
F135	94.0691	678.92	677.05	680.53	1886	1491749	0.89	0.9	4	12	70705	161577	153855	191769	107537	191776	114128	0	119447	0	133011	123746	0	115319	34139
F137	94.0691	697.91	696.31	699.25	1886	1186009	0.81	0.97	4	12	75439	212071	35269	74994	68632	83152	69224	0	135604	0	198942	141961	0	39053	76766
F138	94.0691	701.92	699.25	703.53	1886	1777358	0.81	0.91	3	12	222974	89237	137494	168301	250060	149598	137281	0	67646	0	74614	205030	0	195474	136090
F140	94.0691	710.5	708.1	711.84	1886	1349810	0.79	0.74	3	12	141923	65086	80294	113896	156923	144097	165106	0	33522	0	227568	76312	0	99044	78034
F141	94.0691	719.6	716.39	721.74	1886	1796073	0.8	0.71	5	12	164482	207554	301897	141033	170010	84870	194888	0	79362	0	97455	210699	0	137274	71074
F142	94.0691	723.61	721.74	724.94	1886	1110783	0.81	0.97	5	12	51622	76589	34304	192398	121787	71417	114841	0	102060	0	33134	63228	0	146460	141861
F143	94.0691	728.42	725.21	730.83	1886	1655605	0.77	0.74	4	11	111840	173149	36469	168801	0	151835	240330	0	121343	0	109232	237996	0	177375	115961
F144	94.0691	732.97	730.83	734.84	1886	1162297	0.8	0.93	4	12	128145	164763	34865	72032	167179	108985	127976	0	37952	0	78345	108940	0	106249	26895
F145	94.0691	740.72	739.39	742.33	1886	817264	0.75	0.97	4	11	28584	35712	0	62191	33160	126214	73229	0	113705	0	103922	52438	0	34070	172440
F146	94.0691	743.66	742.33	745.54	1886	917581	0.77	0.83	4	12	40705	109498	66063	80870	141727	31096	78195	0	76599	0	80834	107567	0	52460	37795
F147	70.5964	576.99	573.78	580.2	64	8888534	1	0.98	571	9	0	0	938722	1011723	0	1044514	1852184	781478	923887	0	0	1074045	576273	0	676570
F148	70.5964	582.07	580.73	585.28	64	1835647	0.94	0.97	210	9	0	0	133204	111702	0	227342	277571	183624	279816	0	0	175880	184833	0	305673
F149	70.5964	688.28	685.34	690.42	64	3623134	1	0.79	309	9	0	0	238097	404518	0	462662	367193	373738	543300	0	0	391320	396934	0	443870
F151	70.5974	576.99	573.78	580.2	65	119636668	1	0.96	1327	15	8395062	6655222	7938620	7500550	7970288	8277838	10164022	7854175	7508261	6515885	9406645	8685639	7019086	7873672	7896703
F152	70.5974	687.48	684.81	690.69	65	49428632	0.88	0.98	4131	15	3828811	3357589	3430498	3258229	3246777	3064282	3247059	3040208	2661004	3252207	4246276	3238003	2686620	3801001	3093068
F153	70.5984	272.35	269.41	275.56	66	68539462	1	0.99	7371	15	4645408	4417596	4458431	4176325	4219929	4394596	5758643	4385787	4024194	3856863	5119673	5098169	4043157	4646046	4502493
F154	70.5988	605.6	604	606.67	67	801263	1	0.93	130	5	0	0	0	0	0	122012	145423	0	0	301573	32358	0	230868	0	0
F155	70.5988	607.74	606.67	609.35	67	913124	1	0.99	157	5	0	0	0	0	0	118435	284628	0	0	291557	134795	0	112756	0	0
F156	70.5998	606.41	604	609.61	68	36774062	1	0.99	3287	15	2574327	2268066	2353756	2400588	2390884	2437220	2632953	2229575	2173845	1991080	3239180	2610776	2089285	2761974	2642553
F157	70.708	578.33	575.12	581.27	70	1844483	1	0.76	139	5	355334	368857	0	0	0	0	470985	108568	0	0	633465	0	0	0	0
F158	70.7089	272.62	271.29	273.69	71	2918602	0.8	0.89	504	15	226546	242554	234875	198429	216885	185360	44410	183240	200918	44289	367252	144905	123959	181946	288528
F159	70.7089	576.99	573.78	579.93	71	29737531	0.96	0.95	1783	15	2142850	1417245	1988336	1767181	2054401	2093371	2517961	1933522	1748039	1739976	2339440	2210708	1709218	2061187	2038096
F160	70.7089	687.21	685.61	689.35	71	9373212	0.88	0.91	1260	15	684430	669349	614322	607064	507796	709320	671946	540329	302665	521978	849155	658463	522581	899403	629411
F161	70.7099	272.62	269.95	275.03	72	17129260	1	0.99	2043	15	1079744	1174876	1120472	964268	1109383	1121342	1412449	1065375	1111705	894183	1362535	1219861	945693	1262564	1090614
F162	70.7099	331.99	330.12	334.13	72	13168398	1	0.98	1854	15	871710	903935	936588	943507	1066251	857469	1004626	945046	856263	952736	1012885	834270	710302	757918	840912
F163	70.7111	263.53	262.73	264.87	74	1834664	0.97	0.85	390	12	164485	151611	0	79141	63405	0	342728	205036	74386	64391	97707	275510	0	155957	169307
F164	70.7111	331.99	329.85	334.66	74	75196755	1	1	9200	15	5436867	5918452	4880493	5170640	5213803	4605443	6664811	5556059	5642593	4574145	5293838	4691519	4187171	4732239	4491692
F165	70.7111	606.14	604.53	609.08	74	7691682	1	0.96	945	15	654472	406808	544243	293205	343379	466549	573672	592278	515010	342590	828896	633020	263501	645498	606561
F166	70.7119	263.8	260.59	267.01	75	33520161	1	0.99	3461	9	4373709	3232840	3853981	0	3713719	4043678	0	0	3215410	3574289	0	0	3593601	0	3943934
F167	70.713	263.8	260.59	267.01	76	289946019	1	0.99	28998	15	21305722	15839521	18833055	20262872	18832649	19877053	21331263	18845734	16130418	17719754	21316046	21716188	18581809	19642577	19593315
F168	70.7208	988.48	985.8	990.35	78	2031809	1	0.99	201	1	0	0	0	0	0	0	0	0	0	2062709	0	0	0	0	0
F169	70.7227	922.16	920.29	924.83	79	2976872	1	0.99	290	2	0	0	0	0	0	0	0	0	0	2178786	0	0	842654	0	0
F170	70.7656	331.99	329.58	334.13	80	3071255	1	1	379	6	385630	643871	0	588007	0	0	0	496471	610345	498022	0	0	0	0	0
F171	70.7667	331.72	329.85	334.4	81	44244044	1	1	5510	15	3021754	3591539	2937422	3012005	3145983	2829924	4000676	3190841	3237239	2752177	3089483	2640129	2388933	2783415	2699230
F172	70.7934	173.33	170.13	175.47	82	2337693	1	0.88	185	2	0	0	0	0	0	0	1312680	0	0	0	0	1065133	0	0	0
F173	70.8106	782.17	779.23	785.38	83	115445025	1	0.99	10486	11	13102888	11306891	0	0	11621861	11754589	2847464	16214736	0	16841520	9578337	2008474	17626562	0	2565703
F174	70.8117	781.91	778.7	785.11	84	714163742	1	0.99	65559	15	65044064	55843720	56407662	56861847	56389240	57430908	13909610	78273166	16423915	82869972	47826590	10569082	85642672	17795472	12900822
F175	70.8117	839.19	838.39	840.79	84	1602805	0.81	0.72	253	9	220925	0	171003	100761	87531	28076	0	325750	0	381989	35118	0	261652	0	0
F176	70.8204	373.44	372.37	376.11	86	9033651	1	0.96	1116	15	619377	657885	684316	500742	588819	537937	861866	731519	533066	501696	636992	560957	445103	644620	618514
F177	70.8204	644.91	643.31	646.25	86	6188161	1	0.76	826	15	754800	359995	318872	450424	603838	367227	436918	476760	261246	549516	105356	544517	199195	290290	481207
F178	70.8214	331.45	330.65	333.06	87	3672534	1	0.86	675	15	158297	1100695	283277	98525	169815	157982	205381	352464	266283	153611	146475	150195	85839	214759	176912
F179	70.8214	644.65	642.24	646.79	87	34686655	1	0.97	3449	15	2569585	1965939	2304267	2412294	2369433	2571336	2668273	1933777	2228568	2279354	2494860	2522142	1773332	2302920	2308575
F180	70.8224	331.99	330.39	333.59	89	13156562	1	0.97	1748	14	1058116	0	920744	1061927	1032361	874625	1211133	1108196	1057446	773035	1045831	858072	773674	950722	815375
F181	94.0699	222.57	220.96	225.81	1887	15921800	1	0.94	66	12	2987527	1079019	912960	1256827	1142153	1119184	66762	0	2717590	0	695146	1025354	0	1068406	1834988
F213	70.8234	263.8	261.12	267.01	91	5577578	1	0.99	586	8	750220	0	604972	0	0	777944	827222	909668	381988	975488	0	0	0	0	384560
F214	94.0962	222.3	220.7	225.51	1888	3018866	1	0.97	364	5	941308	0	0	0	0	0	0	0	791093	0	0	408655	337407	0	615455
F215	70.8244	263.8	260.59	267.01	93	80471405	1	0.99	8207	15	5946774	4238928	5281663	5494622	5184270	5628163	5921897	5234149	4332927	4939554	6053142	6148188	5189400	5463959	5402315
F216	94.0979	222.57	220.43	225.81	1889	28585763	1	0.97	2738	12	5465078	2595932	1962471	1701703	1650005	1673337	0	0	4670974	0	1171046	1833815	1159436	2002075	2783579
F217	70.8577	373.97	372.64	376.11	94	1086524	1	0.99	154	2	599385	0	0	0	0	0	0	0	0	0	0	0	0	0	508057
F218	94.1241	222.03	220.16	224.98	1890	1994883	1	0.98	208	3	917051	0	0	0	0	160431	0	0	944273	0	0	0	0	0	0
F219	94.1257	222.3	219.89	225.51	1891	26979496	1	0.98	2568	12	5298528	2390107	1859491	1526993	1562739	1525606	0	0	4526017	0	1000678	1710324	948024	1987370	2611882
F220	70.9215	782.17	780.3	784.04	95	835016	1	0.98	119	2	0	257077	0	0	0	0	0	609165	0	0	0	0	0	0	0
F221	70.9221	782.17	779.77	785.11	96	19516188	1	0.99	2013	8	0	3700327	0	3920101	0	0	713178	5401482	753488	0	3244395	0	0	956868	847349
F222	70.9232	782.17	779.23	785.38	97	250532512	1	0.99	23536	15	23027529	19566277	19985292	20166031	19997713	20119037	4643040	27772938	5357368	29284722	16745494	3374021	30540724	5803867	4172459
F223	70.9358	263.8	261.93	266.2	99	5412976	1	1	665	7	763002	0	0	659495	0	721747	830955	0	0	0	828362	837739	0	788682	0
F224	94.1535	222.3	220.16	225.51	1893	14452226	1	0.95	1605	10	3359967	1120649	997469	896433	1053318	0	0	0	2638624	0	683416	1115523	0	986932	1587984
F225	94.1814	222.3	220.7	224.71	1894	2966855	1	0.97	354	3	1270964	0	424509	0	0	0	0	0	1287388	0	0	0	0	0	0
F226	70.9467	910.39	908.79	913.07	101	1076592	1	0.97	113	1	0	0	0	0	0	0	0	0	0	1213702	0	0	0	0	0
F227	94.3056	344.56	342.69	346.7	1895	1354284	1	1	181	2	0	0	0	0	0	0	0	0	0	0	588421	0	0	0	781869
F228	70.9852	331.99	329.32	333.86	102	1486448	1	0.98	166	2	0	0	0	0	0	0	0	945709	0	653748	0	0	0	0	0
F229	70.9863	331.99	329.58	334.4	103	66607255	1	1	8350	15	4514967	4475132	4240046	4388498	4520596	4229236	6201010	4977831	4989333	3870645	4843449	4208864	4095553	4634246	4143415
F232	71.0298	36.68	33.74	39.89	109	214046736	1	0.98	6	15	21576238	14417461	13512798	13842265	14013486	15055208	7630788	7299513	21319061	6767843	11771118	17881382	15420681	13589847	19973047
F257	71.0347	781.91	779.77	785.11	112	39501297	1	0.99	3851	11	3848271	3290855	3405341	3391176	3411184	3402363	0	4874143	778958	5111119	2678946	0	5329941	0	0
F258	71.041	332.79	329.85	334.13	113	1528167	1	0.91	177	6	0	212480	0	0	124295	181240	0	495754	0	492125	0	88088	0	0	0
F259	71.041	373.97	372.1	375.31	113	809436	1	0.98	130	5	0	158068	0	0	226854	117539	0	0	0	62200	0	257780	0	0	0
F260	71.042	331.99	330.12	334.13	114	36195097	1	0.99	4734	14	2598853	2732237	2453434	2170178	2646785	2019924	3531557	2922463	2942202	2385807	2868953	2625938	0	2599831	2583298
F262	94.5213	56.74	54.33	58.08	1896	3179153	0.75	0.84	11	15	111491	108016	176744	113036	64144	137954	141956	228678	99910	293183	77071	43404	91985	187573	103161
F263	94.5213	58.61	59.95	61.82	1896	2368969	0.75	0.73	10	13	0	99823	113057	142590	108557	74450	79473	38676	0	79312	83901	92615	63624	78069	57950
F293	94.53	36.41	33.21	38.02	1898	27522219	1	0.92	6	14	2092041	4540103	2434860	1843906	1379638	1266678	1370677	1026608	2963757	0	2020538	1215729	1281707	1278647	2826330
F294	128.0579	36.41	34.01	38.02	3519	2348390	1	0.98	289	4	162705	768787	0	0	0	0	0	0	876246	0	0	0	0	0	559959
F295	71.0499	47.65	45.51	50.59	117	42599121	1	0.88	5	15	3302675	3341760	2956190	2797283	2845108	2693579	2538324	3055710	3016749	2340684	3325935	2335767	2820082	2802516	2574891
F297	128.0622	781.64	779.77	784.58	3520	3206414	1	0.92	136	6	0	0	0	434861	0	0	0	869614	0	949440	212945	0	719572	0	38990
F299	71.073	43.37	41.5	45.77	127	12411945	1	0.94	1483	12	1502249	1015138	762345	831341	674994	918608	352218	0	1356577	0	0	1236788	1294472	1012788	1471427
F301	71.0845	649.19	645.98	652.4	129	139137036	0.88	0.95	268	15	10300133	9407430	9521669	9206105	9045372	8640104	10436120	8116486	8737448	8124619	10996328	9957522	8026369	8758292	9888039
F306	94.5998	543.83	542.49	546.5	1905	14760901	1	0.96	1653	15	1176259	1007032	951712	965013	1002678	1059183	950438	949734	781937	963067	1219272	715213	1097311	1053181	884871
F312	94.8258	650.8	649.46	652.13	1908	1071903	1	0.91	173	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038746
F313	94.9793	38.82	37.48	39.89	1909	2697393	1	1	510	6	0	569356	0	485639	0	0	0	509691	0	0	0	381906	0	395928	364876
F314	94.9943	305.78	304.45	307.92	1910	9602226	1	0.97	1324	12	825000	804935	752784	766305	776250	771700	0	647942	0	0	1006284	668729	836782	852883	906632
F318	71.0856	521.1	518.15	524.04	130	38014362	0.76	0.93	60	15	2515303	2741425	2613676	2360611	2578911	2467441	2797116	2600184	2171641	2185291	2595814	2493148	2728359	2343232	2845210
F320	71.0856	651.33	648.12	654.54	130	151238620	1	0.93	835	15	10961704	8982840	9815086	10273498	9848312	9541482	11508463	9241129	9212389	8815387	13154157	11281357	8862672	9037474	10727670
F324	71.0856	813.73	810.52	816.14	130	19933712	0.73	0.87	14	15	1073446	744607	944506	767144	925013	592564	322062	1181446	396869	8947449	402648	354419	2545788	390012	341269
F325	95.0124	52.73	51.66	54.06	1911	873982	1	0.74	176	2	0	0	0	0	440844	0	0	0	0	0	0	443143	0	0	0
F326	95.0132	52.19	50.05	55.13	1912	38822722	1	0.95	476	13	4910613	2233169	2417889	2291972	2637204	2654226	0	0	8096113	515229	560644	2918876	988109	4894563	3724115
F327	95.0132	359	357.13	359.53	1912	1595213	1	0.72	309	10	0	39986	95404	42348	81085	166011	0	0	0	43960	0	472264	528314	42284	93557
F330	71.0862	884.72	882.31	887.39	131	13379827	1	0.96	770	15	1335320	967191	802594	991955	1071046	874263	265271	1176834	301974	2152275	587691	426417	1402108	581707	463181
F331	71.0977	331.99	330.39	333.59	135	11857059	1	0.97	1664	14	808722	762768	835035	810040	811396	881534	1089932	913291	945686	729166	1012551	859151	0	860558	841774
F335	95.0194	36.15	33.47	38.55	1913	15289879	1	0.97	60	12	1808082	1203320	1049849	1205963	1246462	1025074	0	0	1717606	0	836734	1376756	1083655	1270916	1485462
F336	71.2615	331.99	330.39	333.86	139	18438526	1	0.99	2388	15	1234525	906391	1136794	1226349	1300327	1205709	1879610	1453408	1228846	1006662	1299230	1327712	1143569	1389389	1159514
F337	71.2641	335.73	334.4	337.07	140	2502808	1	0.98	411	12	122980	189577	0	274319	273357	292392	0	179831	170149	160978	222434	289738	99817	238241	0
F338	95.023	984.2	982.06	986.34	1914	2062981	1	0.98	221	2	0	1292724	0	0	787265	0	0	0	0	0	0	0	0	0	0
F339	71.265	336	333.59	337.61	141	20521454	1	0.98	2681	15	1542396	1444327	1225954	1247227	1390832	1441579	2104861	1282873	1458725	1257396	1256946	1429573	916476	1191012	1419469
F340	71.2703	987.68	986.07	990.08	143	1570831	1	0.99	169	1	0	0	0	0	0	0	0	0	0	1586839	0	0	0	0	0
F341	71.271	987.94	985.54	990.08	144	8532786	1	0.93	1005	2	0	0	0	0	0	0	0	0	0	8504407	0	0	46379	0	0
F342	71.2719	686.14	683.2	689.35	145	60207465	1	0.99	4902	15	4297533	3904752	4012281	4071714	4056073	4148551	3950889	3601573	3367459	3874425	4906020	3831663	3961344	4396596	3850592
F343	71.2733	922.16	920.55	925.1	147	9572685	1	0.95	1097	6	1390859	453273	0	0	0	0	0	1386478	0	3791396	794753	0	1773926	0	0
F344	71.2733	926.44	925.63	928.58	147	2644820	1	0.78	347	6	399851	41891	0	0	0	0	0	298007	0	1253803	87157	0	576111	0	0
F345	71.3173	331.99	329.85	333.86	149	6067831	1	1	796	9	0	680425	0	626119	678017	639099	924544	678103	0	591999	700353	0	0	0	694475
F346	71.3207	335.47	334.4	337.61	150	11343040	1	0.95	1641	14	730923	737286	592037	726484	712726	786722	1162804	796331	820537	0	1010672	973801	700989	772499	832229
F351	71.3829	987.68	985.8	990.35	153	2745283	1	0.98	264	1	0	0	0	0	0	0	0	0	0	2780240	0	0	0	0	0
F352	71.3834	686.41	684	688.28	154	15698126	1	0.94	1692	15	1035915	1007074	1074231	1041238	1047178	1132713	1018245	1003955	972011	1026536	1424227	900084	895265	1093680	1042774
F353	71.3848	922.42	920.29	924.56	155	1591051	1	0.99	194	3	202055	0	0	0	0	0	0	0	0	1081933	0	0	324069	0	0
F354	71.3854	765.86	763.19	768.8	156	15470906	1	0.97	1333	7	2759235	0	0	2445465	0	0	2032734	0	1744091	0	0	1963598	2466482	0	2081301
F355	71.3865	687.21	685.61	689.62	157	16443147	0.97	0.97	1721	15	957825	989877	1135949	993839	945054	1276783	1035987	1338731	1084094	1247351	760474	1240693	891566	1486334	1074590
F356	71.3865	766.13	762.92	769.34	157	188769740	1	0.99	2982	15	14759209	12003010	13164188	13339366	11504894	12328872	11294068	12639589	9685260	15287374	17263584	10200788	12840274	11848354	10910208
F357	71.3865	779.5	778.7	780.03	157	352506	0.8	0.9	7	10	0	27331	0	66903	26423	0	48176	22818	52670	28153	0	30901	0	28679	26452
F358	71.495	643.04	641.97	645.98	159	1219347	1	0.74	132	3	0	503850	0	0	352956	0	0	0	0	378549	0	0	0	0	0
F359	71.4959	643.84	641.44	646.52	160	34755432	1	0.97	3240	15	2646032	2293161	2150155	2263369	2373845	2522461	2420738	2304191	2207949	1866856	2657894	2293222	1889545	2483810	2402204
F360	71.4971	765.86	763.19	767.2	162	2897349	1	0.77	293	7	420089	0	0	287765	390891	0	60175	466960	0	435210	0	0	0	0	161765
F362	71.498	766.13	763.19	769.34	163	59473247	1	0.99	4784	15	4766402	3746233	4032219	4287812	3645466	3901435	3497712	3914833	2982906	4873194	5680925	3187516	4058749	3704961	3284745
F364	71.5302	36.95	33.74	39.09	166	26826642	1	0.96	7	14	2787118	1718915	1664536	1952056	2000040	2013487	992217	860326	2711932	0	1714005	2274290	1778735	1745957	2634028
F365	71.5314	36.41	33.21	39.36	167	7813577	1	0.97	11	14	741089	401274	561333	572130	699253	714682	205095	232885	875305	0	448736	664997	599872	420740	710543
F369	71.6095	705.13	701.92	708.36	169	7390774	0.94	0.8	126	15	359114	592348	523503	602598	498503	341736	727835	651927	549822	349742	477881	369399	425840	406446	618324
F370	71.6095	713.18	709.97	716.39	169	6447797	0.93	0.84	114	15	374235	187291	309280	427765	489155	301651	499741	316951	499469	540073	509704	505076	435963	535517	532715
F371	71.6095	765.86	763.45	769.07	169	7596637	1	0.99	266	15	748222	424322	487666	694678	360820	575950	409224	576637	309674	729580	773811	255102	580228	343290	349442
F372	71.6105	644.38	642.77	645.98	170	6463530	0.85	0.89	985	15	345027	546115	301117	601892	622613	740651	317129	412646	364504	412442	517046	414805	165569	404162	310812
F373	71.6105	704.86	701.65	708.1	170	32128278	0.88	0.86	70	15	2163788	2158239	2008326	2215106	2130125	2060875	2059056	2095035	2214048	2296338	2184774	2105134	2083337	2248561	2130536
F374	71.6105	713.45	710.24	716.65	170	30005730	0.87	0.78	82	15	1951631	1835796	2060510	1897886	2100463	2117853	1967538	1916423	2044160	2059798	1919043	2070720	2039798	2047192	2001919
